date,channel,spend,campaign
2024-01-01,Google Ads,2500,Brand Search
2024-01-01,Facebook,1800,Lookalike Campaign
2024-01-01,LinkedIn,1200,B2B Targeting
2024-01-02,Google Ads,2300,Brand Search
2024-01-02,Facebook,1900,Interest Targeting
2024-01-02,LinkedIn,1100,Industry Targeting
2024-01-03,Google Ads,2600,Competitor Keywords
2024-01-03,Facebook,2100,Video Campaign
2024-01-03,LinkedIn,1400,Job Title Targeting
2024-01-04,Google Ads,2400,Brand Search
2024-01-04,Facebook,1700,Retargeting
2024-01-04,LinkedIn,1300,Company Targeting
2024-01-05,Google Ads,2800,Generic Keywords
2024-01-05,Facebook,2000,Cold Outreach
2024-01-05,LinkedIn,1500,Content Promotion
2024-01-06,Google Ads,2200,Brand Search
2024-01-06,Facebook,1600,Event Promotion
2024-01-06,LinkedIn,1000,Webinar Ads
2024-01-07,Google Ads,2700,Shopping Ads
2024-01-07,Facebook,2200,App Install
2024-01-07,LinkedIn,1600,Lead Gen Forms